"Response number","Overall, do you think the course objectives were met?  ","Overall, to what extent were your personal expectations met? ","How do you rate course organisation and co-ordination?","How do you rate content of training program?","How do you rate relevance of training program/Course to your Job?","How do you rate quality of facilitation?","How do you rate the duration of the course?","How do you rate the effectiveness of the KSG online training platform?","How do you rate the technical support given during the course?","How likely would you attend another online training session at KSG?","How likely would you recommend KSG online learning to your colleagues/friends?","How can KSG improve eLearning courses and participants Learning experiences online?","Please give any other additional comments or suggestions that you may have with regard to the entire training programme","What other relevant areas or topics would you like added to the training programme you have just gone through? ","What other training programmes/areas would you be interested in?"
1,Excellent,"Great Extent",Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,"Great Extent","Great Extent","The e learning porta has been amazing","the programe has been beneficial",none,sldp
2,Excellent,"To Some Extent",Excellent,Excellent,Excellent,"Very Good","Very Good","Very Good",Satisfactory,"Great Extent","Great Extent","The Kenya School of Government (KSG) can improve its eLearning courses and participants&#039; online learning experience by regularly updating course content to reflect current policies and best practices, making courses more interactive through quizzes, discussions, case studies, and live webinars, and ensuring the learning platform is user-friendly and accessible on mobile devices. KSG should also provide timely feedback on assessments, offer reliable technical support, and make learning materials and recorded sessions available for flexible access. Encouraging active facilitator engagement, promoting peer-to-peer collaboration, using practical assessments, and continuously collecting participant feedback will further enhance the quality of online learning, increase course completion rates, and improve the overall learning experience.","The training programme was well organized, informative, and relevant to enhancing professional skills and competencies. To make future programmes even more effective, it would be beneficial to include more practical case studies, hands-on exercises, and interactive group discussions that relate directly to workplace challenges. Providing additional opportunities for networking and experience sharing among participants, as well as access to recorded sessions and supplementary learning materials after the training, would support continuous learning and the application of acquired knowledge. Overall, the programme was valuable and has equipped participants with practical skills that can contribute to improved service delivery in their organizations.","I would recommend adding topics such as artificial intelligence (AI) and digital transformation in public service, cybersecurity and data protection, advanced leadership and change management, project planning and monitoring, mental health and workplace wellness, customer experience management, conflict resolution and negotiation skills, and data analysis for evidence-based decision-making. Including more practical case studies, simulations, and hands-on exercises tailored to real workplace scenarios would also enhance participants&#039; ability to apply the knowledge and skills gained in their respective organizations.","I would be interested in training programmes on leadership and strategic management, project planning and management, monitoring and evaluation, digital transformation and artificial intelligence (AI) in public service, data analysis and visualization, financial management, procurement and contract management, customer service excellence, cybersecurity and data protection, communication and public speaking, research methods, and change management. These areas would further strengthen my professional competencies and enhance my ability to contribute effectively to improved service delivery and organizational performance."
3,Excellent,"Great Extent",Excellent,Excellent,Excellent,Excellent,Satisfactory,Excellent,Excellent,"Great Extent","Great Extent","by increasing interactive and practical learning activities","online engagement for every week",egp,SLDP
4,Satisfactory,"To Some Extent",Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,"To Some Extent","To Some Extent","Better feedback from the facilitators on the expectations.",None,"The topics were adequately covered and resonated with the day to day work activities.",
5,"Very Good","Great Extent","Very Good",Satisfactory,Satisfactory,"Very Good",Satisfactory,Satisfactory,"Very Good","To Some Extent","To Some Extent","There were very few online interactions. I will recommend that more online classes are carried apart from the clips shared","Being a progression requirement for officers who work under different lines of duty a refresher on the modules should be regularly carried out for work effectiveness","Now that the government is going electronic on every area for effective service delivery to the public more emphasis should be put on information technology, with the new emerging technology systems.","Whenever a new system is brought forth a sensitisation and basic training on the same should be introduced to the users"
6,Excellent,Satisfactory,"Very Good","Very Good",Excellent,"Very Good","Very Good",Excellent,"Very Good",Neutral,"Great Extent","'-Adding more interactive elements like live sessions and case studies.","'-The training program was comprehensive and delivered by competent facilitators.
-The online format made it accessible and flexible.
-I would gladly recommend KSG to colleagues.","'-Case studies of best practice from other Kenyan public institutions.","'-Public Finance Management and Budgeting.
-Strategic Leadership and Governance for Public Officers.
-Health Sector Project Management.
-Data use and Digital Health for Decision Making."
7,"Very Good",Satisfactory,Excellent,"Very Good",Excellent,Excellent,"Very Good",Satisfactory,Excellent,"To Some Extent","Great Extent","By providing an officer on call to guide stranded participants.","I am happy and grateful to the coordinator of the program. my calls were picked and guidance was given on time. the online course has tested my expertise on IT and i am glad I managed.","Am ok with the areas covered.","Strategic Leadership Development Programme (SLPD)"
8,Excellent,"Great Extent",Excellent,Excellent,"Very Good",Excellent,"Very Good","Very Good","Very Good","Great Extent","Great Extent","The experience on eLearning was excellent at KGS and i recommend all programs to be online.","eLearning is the best in terms of cost, effectiveness and time.","Stress management",SLDP
9,Excellent,"Great Extent","Very Good",Excellent,Excellent,"Very Good",Excellent,"Very Good","Very Good","Great Extent","Great Extent","I think for online platform, learners and lecturers interaction time should be increased to some extent at least twice weekly.","As a Senior Accountant in the Department of Finance, Tana River County Government, the SMC course at KSG has been very relevant to my mandate. The modules on Public Financial Management, Audit,Budgeting cycle , Ethics, and Results-Based Management have sharpened my leadership and accountability. I am leaving with practical strategies on OSR enhancement, pending bills reduction, and audit query resolution that I will implement immediately to ensure compliance with the PFM Act 2012 and County Government Act 2012, and to work towards a clean audit opinion for Tana River County.","I recommend KSG to strengthen the curriculum in the following  areas: -
OSR Automation via LAIFOM 
Add a module on Local Authority Integrated Financial Operations Management to improve collection, reconciliation, and seal leakages.

Pending Bills Management 
Include PFM Regulations 2022 on verification and settlement to reduce County audit issues.

OAG Audit Response 
Train on internal controls and responding to recurring audit queries for a clean audit opinion.","Senior Leadership Development Programme,
Public Finance Management  Course
Advanced Excel for Data Modelling,
Asset Management Course"
10,"Very Good","To Some Extent",Excellent,Excellent,Excellent,Excellent,"Very Good","Very Good","Very Good","Great Extent","Great Extent","As a participant, I feel KSG can further improve eLearning by making the sessions more interactive and engaging. I would appreciate more live virtual classes where participants can actively discuss and share experiences in real time. Including more practical case studies, simulations, and real-life examples would help me connect theory to my day-to-day work.

I also suggest improving the platform’s accessibility, especially for participants with limited internet connectivity, by ensuring materials are downloadable and mobile-friendly. In addition, timely technical support and regular feedback during the course would greatly enhance my online learning experience.","I have found the training programme very relevant and useful in improving my leadership and service delivery skills. However, I feel that more group work and peer discussions would strengthen learning through shared experiences.

I would also appreciate more time allocated for practical application of concepts and reflection on how they can be implemented in my workplace. Follow-up support after the training would also help me ensure effective application of the skills learned.","Monitoring and evaluation for results-based management
Innovation and customer (citizen) service improvement","As a participant, I would be interested in further training programmes that strengthen my leadership, management, and service delivery skills. Specifically, I would like to undertake courses in digital transformation in public service, data-driven decision-making, and results-based management to enhance efficiency and accountability in my work."
