"Response number","Overall, do you think the course objectives were met?  ","Overall, to what extent were your personal expectations met?  ","How do you rate course organisation and co-ordination","How do you rate content of training programme","How do you rate relevance of training programme/Course to your Job","How do you rate quality of training/facilitation and learning materials","How do you rate the appropriateness of duration of programme(length of course)","How do you rate the appropriateness of online training platform","How do you rate the technical supoport given during the course","How likely would you attend another online training session at KSG","How likely would you reccomend KSG online learning to your colleagues/friends","How can KSG improve eLearning courses and participants Learning experiences online","Please give any other additional comments or suggestions that you may have with regard to the entire training programme","What other relevant areas or topics would you like added to the training programme you have just gone  through? ","What other training programmes/areas would you be interested in?"
1,"Very Good",Satisfactory,Excellent,Excellent,"Very Good",Excellent,"Very Good","Very Good",Excellent,"Great Extent","Great Extent","having time to time assignments","the training was good","communication skills - speaking with different clients",none
2,Satisfactory,Satisfactory,Satisfactory,"Very Good","Very Good","Very Good","Very Good",Satisfactory,Satisfactory,"Great Extent","Great Extent","by offering adequate information before commencement of the courses","Course expectations were met","All important topics were covered","Secretarial management course"
3,Satisfactory,Satisfactory,Satisfactory,"Very Good",Excellent,"Very Good",Satisfactory,Excellent,"Very Good","Great Extent","Great Extent","Having more live sessions at least once a week without failure","The training has met my expectations","Emotional Intelligence","Executive Course for Office Administrators"
4,Excellent,"Great Extent",Satisfactory,Excellent,Excellent,Excellent,Satisfactory,Satisfactory,Excellent,"Great Extent","Great Extent","KSG could boost eLearning like this:      1.Interactive content: Add quizzes, simulations, or discussions.      2.Mobile-friendly design: Ensure courses work smoothly on phones.      3.Feedback loops: Collect input to improve courses regularly .","The course has been beneficial and promising to my career progression and growth","Data-Driven PR: Using analytics to measure PR success","Supervisor management course"
5,"Very Good","To Some Extent",Satisfactory,"Very Good","Very Good",Excellent,Satisfactory,"Very Good",Satisfactory,"To Some Extent","To Some Extent","Offer timely support","improve on communication ...","Customer service integrity","Front office"
6,Excellent,"Great Extent","Very Good",Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,"Great Extent","Great Extent",n/a,n/a,n/a,"Supervisory Management"
7,Satisfactory,Satisfactory,"Very Good","Very Good","Very Good","Very Good",Satisfactory,"Very Good","Very Good","Great Extent","Great Extent",N/A,N/A,"Strategic management courses",N/A
8,Excellent,"Great Extent",Excellent,Excellent,"Very Good","Very Good",Satisfactory,"Very Good","Very Good","Great Extent","Great Extent","Increase duration of learning",Excellent,None,"Supervisory skills"
9,Excellent,"Great Extent","Very Good",Excellent,"Very Good",Satisfactory,"Very Good","Very Good",Satisfactory,Neutral,"Great Extent",Navigation,"Thorough Orientation",Counseling,Psychology
10,Excellent,"Great Extent",Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,"Great Extent","Great Extent","Run zoom meeting at least two days in a week.","The training was well planned.","I believe all relevant topics on PRCC were discussed.","I am also interested in undertaking the Supervisory Skills course, Secretarial Management Course and Strategic Leadership Development Programme."
11,Excellent,"Great Extent",Excellent,Excellent,Excellent,Excellent,"Very Good",Excellent,Excellent,"Great Extent","Great Extent","KSG can upgrade its LMS to be more user-friendly, faster, and mobile-responsive. Features like easy navigation, offline access, and seamless video streaming improve learner satisfaction, especially for users accessing content from different regions.",,,"Senior Management Course"
